N,K,alpha,beta,ll,perplexity,coherence,topics,weights
1000,4,0.1,0.1,-1071037.375,2376.183837890625,0.4574482591543874,"[['article', 'problem', 'thing', 'said', 'believe', 'help', 'better', 'mail', 'gun', 'drive'], ['max', 'nntp', 'use', 'work', 'program', 'government', 'look', 'number', 'bit', 'lot'], ['organization', 'university', 'like', 'know', 'think', 'time', 'year', 'new', 'good', 'reply'], ['edu', 'line', 'subject', 'com', 'writes', 'people', 'posting', 'host', 'right', 'way']]","[[0.019598687, 0.009313145, 0.007776225, 0.005884631, 0.00535262, 0.0049683903, 0.004938834, 0.0048206095, 0.004761497, 0.0045250477], [0.026420655, 0.012829062, 0.011265709, 0.008904728, 0.0072775655, 0.00606517, 0.005714213, 0.0056184973, 0.0048527736, 0.004693248], [0.025514625, 0.012834815, 0.012504479, 0.011665935, 0.011462651, 0.011208546, 0.009251943, 0.008997838, 0.008184704, 0.0065584355], [0.03635652, 0.026895806, 0.026391555, 0.021541137, 0.016690718, 0.011768266, 0.010807787, 0.010087428, 0.0074221, 0.007230004]]"
1000,4,0.5,0.5,-1115747.75,3287.047119140625,0.48555914047609383,"[['edu', 'line', 'subject', 'com', 'nntp', 'problem', 'window', 'distribution', 'use', 'thanks'], ['posting', 'host', 'reply', 'god', 'world', 'christian', 'key', 'drive', 'card', 'science'], ['organization', 'max', 'right', 'law', 'gun', 'car', 'war', 'david', 'opinion', 'read'], ['writes', 'article', 'university', 'like', 'people', 'think', 'time', 'year', 'good', 'way']]","[[0.031121466, 0.02299834, 0.022586, 0.018441968, 0.008277753, 0.0058037047, 0.0053088954, 0.00520581, 0.0050821076, 0.0039275517], [0.01403163, 0.013030488, 0.00786835, 0.007680636, 0.0057409233, 0.0050839237, 0.0048962096, 0.004771067, 0.003957639, 0.0038012108], [0.025060568, 0.021240594, 0.0067554577, 0.0045506405, 0.004140442, 0.004140442, 0.003986617, 0.0037558805, 0.003525144, 0.0034225942], [0.011539642, 0.011008702, 0.008370596, 0.008171493, 0.00813831, 0.0074912272, 0.0073253084, 0.0059647756, 0.0053508766, 0.0049858554]]"
1000,7,0.1,0.1,-1015341.375,1586.0899658203125,0.46377650852236396,"[['writes', 'article', 'work', 'reply', 'distribution', 'question', 'want', 'government', 'come', 'support'], ['year', 'day', 'look', 'help', 'car', 'drive', 'lot', 'little', 'read', 'great'], ['edu', 'line', 'subject', 'organization', 'com', 'posting', 'host', 'nntp', 'thanks', 'key'], ['like', 'people', 'know', 'think', 'good', 'right', 'way', 'thing', 'said', 'going'], ['use', 'problem', 'state', 'need', 'case', 'number', 'mean', 'program', 'mail', 'run'], ['university', 'time', 'new', 'window', 'world', 'file', 'david', 'better', 'war', 'information'], ['max', 'god', 'christian', 'do', 'word', 'armenian', 'org', 'book', 'religion', 'net']]","[[0.030748608, 0.02933305, 0.012346335, 0.011328901, 0.011328901, 0.010222995, 0.009780632, 0.008409309, 0.007568821, 0.006153261], [0.018760402, 0.008970574, 0.008867523, 0.008661422, 0.008403795, 0.007888541, 0.0074763373, 0.00721871, 0.006806507, 0.0063427775], [0.063108794, 0.04668659, 0.04581129, 0.041976664, 0.037391786, 0.018760499, 0.017510077, 0.016759824, 0.00804855, 0.0068398085], [0.018784665, 0.01870832, 0.017524974, 0.017219594, 0.012295348, 0.011799106, 0.011493727, 0.010043173, 0.007600136, 0.0075619635], [0.015352241, 0.01370006, 0.011178309, 0.009700042, 0.007873948, 0.007613077, 0.0072217705, 0.0070913355, 0.0069174217, 0.006873943], [0.02199111, 0.019242765, 0.015447435, 0.011215858, 0.010386993, 0.007987645, 0.0076386495, 0.0072896536, 0.0067661596, 0.006155417], [0.05772783, 0.017295346, 0.011300184, 0.010184805, 0.0085814465, 0.0077449125, 0.0069780895, 0.006908378, 0.0062809777, 0.0055141547]]"
1000,7,0.5,0.5,-1121427.5,3425.3759765625,0.4853062490602028,"[['writes', 'university', 'nntp', 'know', 'like', 'time', 'good', 'car', 'david', 'do'], ['edu', 'line', 'subject', 'com', 'article', 'posting', 'host', 'organization', 'window', 'reply'], ['think', 'people', 'right', 'organization', 'year', 'state', 'way', 'time', 'like', 'article'], ['nasa', 'science', 'year', 'fan', 'allocation', 'team', 'radio', 'colorado', 'flame', 'univ'], ['max', 'armenian', 'child', 'netcom', 'unit', 'cross', 'state', 'health', 'use', 'turkish'], ['organization', 'pitt', 'apple', 'engineering', 'team', 'geb', 'apr', 'andrew', 'air', 'monitor'], ['organization', 'god', 'people', 'christian', 'believe', 'church', 'john', 'research', 'mean', 'thing']]","[[0.022160621, 0.0152782425, 0.012569899, 0.009893418, 0.008778218, 0.006770858, 0.0054963436, 0.0051139896, 0.004731635, 0.0046360465], [0.03387252, 0.023137499, 0.023064472, 0.021774322, 0.01123404, 0.010674164, 0.0098708635, 0.006608975, 0.006219496, 0.0060734414], [0.0072888685, 0.006171948, 0.005960118, 0.0055172015, 0.0049587414, 0.0042462233, 0.0042462233, 0.004226966, 0.0039381073, 0.0038610783], [0.0065578124, 0.005920616, 0.0034249304, 0.0029470332, 0.0027346343, 0.002628435, 0.002469136, 0.0021505377, 0.0020974379, 0.0019381389], [0.0387546, 0.0052282372, 0.004009097, 0.0038215367, 0.0030244063, 0.0028837363, 0.002649286, 0.0023210559, 0.0022741659, 0.0021334959], [0.004073263, 0.004073263, 0.0030757294, 0.0024107068, 0.0023552882, 0.0021890327, 0.0020781956, 0.0019673584, 0.0015794287, 0.001413173], [0.013052823, 0.008579566, 0.005713886, 0.005574097, 0.004700414, 0.004001468, 0.003686942, 0.0035471527, 0.0034772581, 0.0034423107]]"
1000,10,0.1,0.1,-1024798.8125,1698.780517578125,0.4737469890525876,"[['people', 'thing', 'like', 'key', 'christian', 'tell', 'message', 'word', 'course', 'opinion'], ['edu', 'line', 'subject', 'organization', 'article', 'com', 'know', 'posting', 'reply', 'need'], ['think', 'government', 'state', 'new', 'war', 'year', 'way', 'time', 'american', 'russian'], ['max', 'program', 'mit', 'file', 'version', 'available', 'window', 'motif', 'work', 'problem'], ['right', 'like', 'law', 'better', 'gun', 'way', 'good', 'fact', 'said', 'work'], ['host', 'nntp', 'university', 'time', 'god', 'problem', 'distribution', 'think', 'car', 'look'], ['mail', 'information', 'list', 'driver', 'data', 'internet', 'point', 'city', 'controller', 'number'], ['writes', 'com', 'line', 'subject', 'edu', 'organization', 'use', 'window', 'do', 'drive'], ['year', 'game', 'run', 'church', 'team', 'come', 'auto', 'best', 'far', 'andrew'], ['writes', 'child', 'state', 'armenian', 'use', 'john', 'home', 'high', 'year', 'number']]","[[0.02993395, 0.015951281, 0.015705971, 0.01037048, 0.009941187, 0.007610742, 0.007365432, 0.007242777, 0.0070587946, 0.006997467], [0.060113516, 0.03925944, 0.03921226, 0.036947567, 0.02774724, 0.024538921, 0.019396175, 0.017744835, 0.0120830955, 0.008969139], [0.010369972, 0.007521296, 0.006611302, 0.0063739126, 0.006136523, 0.005899133, 0.005463919, 0.005384789, 0.005384789, 0.005305659], [0.065446, 0.008632763, 0.0068919673, 0.0068128402, 0.006654586, 0.006496332, 0.00602157, 0.0058633154, 0.0056259343, 0.0054676803], [0.01793292, 0.012291665, 0.010724651, 0.010348567, 0.0100978445, 0.0100978445, 0.009094955, 0.008844232, 0.00859351, 0.008154746], [0.026579762, 0.025614629, 0.02271923, 0.018987382, 0.015770273, 0.01512685, 0.013711322, 0.012102768, 0.010365528, 0.008499605], [0.011442563, 0.009346507, 0.008679579, 0.008393753, 0.006964624, 0.0061071464, 0.0059165955, 0.005726045, 0.005154393, 0.005059118], [0.031804755, 0.021042138, 0.01761767, 0.015599679, 0.014254352, 0.012909025, 0.012297513, 0.011013337, 0.008934195, 0.008750741], [0.012358517, 0.011058598, 0.010780044, 0.010594341, 0.010037233, 0.0090158675, 0.006230327, 0.005301813, 0.0049304077, 0.004744705], [0.01229989, 0.008717397, 0.007944703, 0.007804213, 0.0069612735, 0.006610049, 0.0059075993, 0.00576711, 0.00576711, 0.00576711]]"
1000,10,0.5,0.5,-1119729.0,3383.409912109375,0.5540661038848034,"[['max', 'god', 'christian', 'religion', 'writes', 'jesus', 'moral', 'keith', 'belief', 'faith'], ['armenian', 'church', 'god', 'jew', 'turkish', 'genocide', 'turk', 'christian', 'russian', 'army'], ['posting', 'nntp', 'writes', 'key', 'nasa', 'message', 'gov', 'book', 'jim', 'encryption'], ['edu', 'file', 'subject', 'program', 'com', 'mit', 'problem', 'available', 'image', 'motif'], ['line', 'organization', 'article', 'people', 'like', 'time', 'think', 'good', 'year', 'right'], ['line', 'organization', 'window', 'thanks', 'do', 'mail', 'drive', 'card', 'game', 'scsi'], ['war', 'south', 'new', 'secret', 'nuclear', 'island', 'rockefeller', 'military', 'insurance', 'georgia'], ['writes', 'myers', 'president', 'administration', 'space', 'support', 'think', 'project', 'russian', 'package'], ['edu', 'subject', 'com', 'university', 'host', 'know', 'reply', 'distribution', 'want', 'usa'], ['car', 'writes', 'bike', 'engine', 'circuit', 'looking', 'craig', 'ibm', 'kevin', 'file']]","[[0.04707926, 0.010509527, 0.0073196436, 0.00464242, 0.004471533, 0.003844949, 0.0028196292, 0.002477856, 0.002477856, 0.002477856], [0.005790854, 0.005790854, 0.0031940585, 0.002363084, 0.002311148, 0.0018956608, 0.0018956608, 0.001791789, 0.0016879172, 0.0015840452], [0.021510946, 0.01992966, 0.01747594, 0.008642548, 0.004607541, 0.0032988903, 0.003080782, 0.0028081464, 0.0022628752, 0.0022083481], [0.00491103, 0.0047282944, 0.0042257705, 0.0041800863, 0.00399735, 0.0038602983, 0.0034491422, 0.0034034583, 0.0034034583, 0.0033577743], [0.015462821, 0.013891584, 0.011987615, 0.008383012, 0.008290586, 0.006978141, 0.0067748046, 0.005776607, 0.0055732704, 0.0054438743], [0.01155756, 0.0101264175, 0.007827916, 0.007047293, 0.0062233014, 0.005789622, 0.0053559425, 0.004965631, 0.004011536, 0.003968168], [0.0067609427, 0.0042828284, 0.0037979798, 0.0037441077, 0.0036902358, 0.0033670033, 0.0033670033, 0.0032053872, 0.002882155, 0.0027205388], [0.0061279447, 0.0056190495, 0.005237378, 0.003795509, 0.003753101, 0.0037106932, 0.0035410614, 0.0034138376, 0.003201798, 0.0030745743], [0.045205723, 0.03159365, 0.02623329, 0.015642513, 0.013108523, 0.012198886, 0.007618212, 0.0070659323, 0.005214171, 0.0049217874], [0.00838662, 0.0066514574, 0.0033096622, 0.0024099483, 0.0020243565, 0.0018315606, 0.0018315606, 0.0016387649, 0.0015744995, 0.001445969]]"
1000,13,0.1,0.1,-1011045.25,1537.3988037109375,0.4769178698508094,"[['god', 'right', 'said', 'know', 'group', 'myers', 'world', 'time', 'kind', 'place'], ['max', 'gun', 'armenian', 'people', 'thing', 'jew', 'israeli', 'christian', 'post', 'point'], ['hell', 'john', 'life', 'research', 'james', 'cub', 'modem', 'believe', 'atheist', 'away'], ['university', 'program', 'use', 'thanks', 'mail', 'sale', 'sun', 'need', 'copy', 'screen'], ['child', 'year', 'use', 'state', 'health', 'national', 'insurance', 'april', 'drug', 'number'], ['people', 'university', 'nntp', 'question', 'law', 'fact', 'day', 'use', 'come', 'case'], ['think', 'like', 'going', 'way', 'work', 'reply', 'believe', 'course', 'let', 'look'], ['nntp', 'key', 'card', 'church', 'christian', 'bit', 'scsi', 'mac', 'chip', 'need'], ['thing', 'drive', 'distribution', 'disk', 'year', 'player', 'unit', 'mike', 'cost', 'lot'], ['war', 'car', 'power', 'new', 'south', 'secret', 'world', 'military', 'year', 'nuclear'], ['window', 'problem', 'com', 'file', 'do', 'subject', 'like', 'version', 'want', 'distribution'], ['edu', 'line', 'organization', 'subject', 'com', 'writes', 'article', 'posting', 'host', 'good'], ['government', 'new', 'year', 'american', 'want', 'right', 'administration', 'country', 'way', 'long']]","[[0.016095601, 0.015945943, 0.014898346, 0.01272832, 0.010184153, 0.009884839, 0.00936104, 0.008014128, 0.007490328, 0.007116186], [0.08069825, 0.015541814, 0.010852895, 0.008703806, 0.008020005, 0.0069454615, 0.00675009, 0.0064570326, 0.005675546, 0.005089431], [0.008348869, 0.007422503, 0.007075116, 0.006727729, 0.006148751, 0.0055697723, 0.005338181, 0.0052223853, 0.004411815, 0.0042960197], [0.022126194, 0.012647906, 0.0122402385, 0.011934487, 0.011730653, 0.00836739, 0.008061639, 0.007959722, 0.0071443855, 0.0069405516], [0.009450132, 0.008900173, 0.008075234, 0.0063336967, 0.0059670573, 0.005875397, 0.0056004175, 0.005325438, 0.004867139, 0.004775479], [0.026535526, 0.017582024, 0.014663846, 0.01300579, 0.010817156, 0.009490712, 0.009424389, 0.009291745, 0.008562201, 0.0080316225], [0.031469434, 0.02550122, 0.014154245, 0.012091159, 0.011649069, 0.011206979, 0.009880709, 0.008186031, 0.00811235, 0.007596578], [0.016523577, 0.014592125, 0.011694945, 0.011018937, 0.00928063, 0.008797767, 0.008797767, 0.008508049, 0.008121759, 0.007638895], [0.013220335, 0.012610635, 0.011289617, 0.00905405, 0.0081394985, 0.0081394985, 0.007936265, 0.007428182, 0.0072249486, 0.007021715], [0.0114023965, 0.010642743, 0.009579227, 0.0069964067, 0.006160788, 0.0059328917, 0.0054771, 0.0054771, 0.0053251693, 0.0051732385], [0.016208056, 0.014581395, 0.011002739, 0.009831543, 0.009441144, 0.008985679, 0.008985679, 0.008855546, 0.008074748, 0.007944616], [0.06897981, 0.051029842, 0.04579064, 0.043786075, 0.033034317, 0.031667568, 0.030209703, 0.020505788, 0.019139038, 0.014355418], [0.0132410405, 0.009560798, 0.009169283, 0.0077598286, 0.0074466164, 0.0074466164, 0.0073683136, 0.0071334047, 0.0071334047, 0.0071334047]]"
1000,13,0.5,0.5,-1131756.25,3692.0205078125,0.5194309568551637,"[['edu', 'organization', 'university', 'know', 'reply', 'think', 'problem', 'writes', 'thing', 'drive'], ['war', 'god', 'south', 'new', 'jesus', 'nuclear', 'island', 'secret', 'rockefeller', 'military'], ['pitt', 'gordon', 'bank', 'geb', 'blood', 'sec', 'univ', 'brain', 'msg', 'heaven'], ['church', 'key', 'christian', 'subject', 'chip', 'clipper', 'insurance', 'toronto', 'encryption', 'think'], ['subject', 'window', 'line', 'file', 'do', 'edu', 'com', 'program', 'version', 'use'], ['nasa', 'michael', 'space', 'project', 'jpl', 'clayton', 'research', 'orbit', 'sirtf', 'gov'], ['line', 'article', 'writes', 'people', 'like', 'time', 'good', 'right', 'year', 'way'], ['max', 'child', 'team', 'use', 'year', 'season', 'safety', 'state', 'number', 'reported'], ['myers', 'think', 'president', 'government', 'administration', 'year', 'clinton', 'russian', 'american', 'program'], ['gun', 'subject', 'auto', 'john', 'big', 'better', 'far', 'think', 'semi', 'revolver'], ['key', 'ripem', 'umich', 'low', 'mouse', 'message', 'sony', 'portable', 'probe', 'kirlian'], ['armenian', 'turkish', 'genocide', 'turk', 'russian', 'army', 'centaur', 'muslim', 'soldier', 'argic'], ['com', 'subject', 'posting', 'host', 'nntp', 'distribution', 'new', 'thanks', 'netcom', 'unit']]","[[0.045525312, 0.028827565, 0.015996305, 0.0117192175, 0.007886948, 0.007544781, 0.0060734632, 0.005662863, 0.0051496127, 0.005081179], [0.0062970133, 0.0052679293, 0.0039448217, 0.0032587657, 0.0032587657, 0.0032097616, 0.0032097616, 0.0031117536, 0.0030627495, 0.0027197218], [0.0038041084, 0.0034837625, 0.0033235895, 0.0031634164, 0.0018019461, 0.0018019461, 0.0016417732, 0.0014015136, 0.0014015136, 0.0013214272], [0.0054510836, 0.0043556504, 0.0039905063, 0.0035731983, 0.0026342557, 0.0026342557, 0.0024777653, 0.0019561306, 0.001903967, 0.0018518035], [0.009863468, 0.008611501, 0.007055002, 0.0060398937, 0.0049571116, 0.0049232747, 0.004686416, 0.004381884, 0.004077351, 0.0039758403], [0.0033286095, 0.002735392, 0.0020762614, 0.0020103483, 0.0019444353, 0.0014830439, 0.0014171308, 0.0014171308, 0.0014171308, 0.0013512177], [0.023385819, 0.016757397, 0.01409538, 0.011539844, 0.009942633, 0.008877827, 0.007892881, 0.007227376, 0.005603546, 0.0051243827], [0.04931613, 0.003248011, 0.0030096248, 0.0026520456, 0.0024136596, 0.0022944664, 0.0021156769, 0.0019368873, 0.0018176942, 0.0017580977], [0.0052254847, 0.005067734, 0.0047127954, 0.0042001065, 0.003924043, 0.0031747285, 0.0029381027, 0.0029381027, 0.0028592274, 0.0028197898], [0.0074480795, 0.0049060727, 0.0033808688, 0.0031266683, 0.0029233077, 0.0028724675, 0.002669107, 0.0025165866, 0.002262386, 0.0022115458], [0.0022379851, 0.0019345294, 0.00155521, 0.0014034822, 0.0013276183, 0.0010241626, 0.0010241626, 0.0010241626, 0.0010241626, 0.0010241626], [0.0072943172, 0.0028159458, 0.0025445293, 0.0024766752, 0.0020695506, 0.0017981341, 0.0015267176, 0.0014588635, 0.0014588635, 0.0013910093], [0.033845857, 0.024874667, 0.01854206, 0.017006883, 0.016335245, 0.00688431, 0.0068363356, 0.0040538274, 0.00386193, 0.0036700328]]"
1000,16,0.1,0.1,-1028264.5625,1742.0528564453125,0.4560041742212433,"[['child', 'number', 'use', 'state', 'public', 'case', 'safety', 'national', 'new', 'health'], ['edu', 'line', 'organization', 'subject', 'writes', 'com', 'article', 'time', 'know', 'question'], ['myers', 'unit', 'cross', 'allocation', 'linked', 'total', 'option', 'package', 'president', 'vpic'], ['subject', 'nntp', 'host', 'university', 'posting', 'god', 'right', 'car', 'believe', 'reply'], ['organization', 'edu', 'line', 'writes', 'like', 'people', 'article', 'know', 'gun', 'use'], ['controller', 'reply', 'bus', 'eric', 'fax', 'phone', 'mhz', 'cwru', 'saw', 'bishop'], ['team', 'game', 'year', 'win', 'new', 'player', 'insurance', 'canada', 'fan', 'best'], ['pitt', 'hell', 'death', 'gordon', 'bank', 'batf', 'going', 'reply', 'geb', 'heaven'], ['max', 'card', 'run', 'driver', 'board', 'graphic', 'video', 'otis', 'motherboard', 'clayton'], ['subject', 'edu', 'com', 'window', 'problem', 'file', 'use', 'version', 'program', 'software'], ['com', 'law', 'point', 'power', 'state', 'book', 'human', 'buy', 'evidence', 'set'], ['think', 'thing', 'said', 'mean', 'word', 'life', 'better', 'work', 'going', 'come'], ['christian', 'problem', 'do', 'university', 'nntp', 'window', 'church', 'good', 'mail', 'israeli'], ['new', 'war', 'russian', 'time', 'government', 'way', 'administration', 'president', 'state', 'year'], ['subject', 'nasa', 'key', 'line', 'armenian', 'com', 'space', 'message', 'org', 'chip'], ['drive', 'good', 'bit', 'david', 'way', 'right', 'country', 'mac', 'hard', 'disk']]","[[0.010345586, 0.008431509, 0.008240101, 0.00795299, 0.006517432, 0.006421728, 0.005943209, 0.0058475053, 0.0058475053, 0.0056560975], [0.06218565, 0.039167766, 0.03737417, 0.029452428, 0.02818196, 0.027210426, 0.025342092, 0.016598286, 0.013011083, 0.010918548], [0.01920086, 0.010625154, 0.0077181347, 0.007427433, 0.0061192745, 0.0059739235, 0.0056832214, 0.005537871, 0.005537871, 0.004665765], [0.026516167, 0.025130155, 0.023311013, 0.02253138, 0.022444755, 0.020625612, 0.014994932, 0.013868797, 0.010923518, 0.00858462], [0.03291225, 0.03255919, 0.02761635, 0.022461675, 0.022108614, 0.021543719, 0.021402495, 0.016318431, 0.01130498, 0.009469069], [0.007306099, 0.0055174115, 0.0053798202, 0.0053798202, 0.0051046377, 0.004829455, 0.003866316, 0.0034535422, 0.0034535422, 0.0034535422], [0.013626794, 0.0128704505, 0.011735935, 0.009340846, 0.009214789, 0.009088731, 0.007702101, 0.007323929, 0.007323929, 0.006441528], [0.010113762, 0.009973488, 0.00800965, 0.0068874573, 0.0067471834, 0.006466635, 0.006186087, 0.005765265, 0.0054847165, 0.004502798], [0.13917446, 0.015665751, 0.008261959, 0.007925423, 0.007084083, 0.0062427428, 0.005569671, 0.004728331, 0.004560063, 0.004391795], [0.014171754, 0.012911242, 0.012731169, 0.008829585, 0.00792922, 0.007869195, 0.0069088046, 0.0069088046, 0.0066086827, 0.005948415], [0.02401078, 0.012536974, 0.010852745, 0.009589574, 0.008642196, 0.008431667, 0.0065369103, 0.0056947963, 0.005484268, 0.005484268], [0.027481526, 0.014725751, 0.013518103, 0.011102809, 0.008536558, 0.008159167, 0.00808369, 0.007102476, 0.00695152, 0.00657413], [0.016682371, 0.015853949, 0.015129079, 0.014507761, 0.011194068, 0.010158539, 0.010158539, 0.009537222, 0.009226562, 0.007259058], [0.008409482, 0.008017301, 0.007513068, 0.007008835, 0.006952809, 0.00572024, 0.0056642145, 0.005272033, 0.0051599815, 0.005103956], [0.014558563, 0.01140776, 0.01140776, 0.010573723, 0.01011037, 0.008349627, 0.008256957, 0.008164286, 0.007978945, 0.007886274], [0.016197992, 0.01541656, 0.012514093, 0.010951227, 0.009499994, 0.009165094, 0.007937128, 0.007713861, 0.007602228, 0.006150995]]"
1000,16,0.5,0.5,-1134474.75,3765.58984375,0.5212373240853052,"[['subject', 'window', 'edu', 'file', 'program', 'motif', 'version', 'com', 'available', 'line'], ['bus', 'sec', 'controller', 'centaur', 'transfer', 'adapter', 'proton', 'oracle', 'disk', 'rate'], ['key', 'do', 'israeli', 'right', 'israel', 'people', 'subject', 'arab', 'line', 'message'], ['window', 'unit', 'cross', 'allocation', 'do', 'file', 'linked', 'disk', 'mouse', 'msg'], ['line', 'host', 'nntp', 'like', 'time', 'problem', 'distribution', 'gun', 'right', 'people'], ['subject', 'know', 'think', 'year', 'use', 'new', 'good', 'work', 'want', 'need'], ['max', 'armenian', 'turkish', 'people', 'turk', 'genocide', 'russian', 'army', 'muslim', 'bhj'], ['war', 'south', 'secret', 'new', 'rockefeller', 'nuclear', 'military', 'island', 'georgia', 'bolshevik'], ['child', 'use', 'state', 'research', 'health', 'case', 'medical', 'safety', 'program', 'year'], ['edu', 'organization', 'com', 'writes', 'article', 'university', 'posting', 'reply', 'car', 'usa'], ['enviroleague', 'ulf', 'calgary', 'flame', 'printer', 'samuelsson', 'youth', 'camosun', 'mat', 'ncube'], ['file', 'disk', 'ibm', 'internal', 'virtual', 'rally', 'portable', 'rsa', 'monitor', 'mcmaster'], ['ryan', 'book', 'helmet', 'netcom', 'sea', 'scroll', 'kuhub', 'dead', 'bellcore', 'ukans'], ['game', 'team', 'subject', 'player', 'line', 'year', 'win', 'play', 'fan', 'hockey'], ['god', 'christian', 'think', 'people', 'myers', 'subject', 'line', 'church', 'believe', 'religion'], ['pitt', 'bank', 'gordon', 'insurance', 'geb', 'pittsburgh', 'science', 'health', 'univ', 'blah']]","[[0.008662128, 0.0065148966, 0.0050996756, 0.004953273, 0.0038308566, 0.0035380523, 0.0034892517, 0.003245248, 0.0031476466, 0.003098846], [0.0020063056, 0.0020063056, 0.0018425254, 0.0018425254, 0.0012692953, 0.0011874053, 0.0011874053, 0.0011874053, 0.0011055153, 0.00085984526], [0.0073023713, 0.004540747, 0.003744125, 0.0035848005, 0.0035316923, 0.0027881782, 0.0024695292, 0.0023102048, 0.0022570966, 0.0022570966], [0.008109117, 0.004512605, 0.0035625827, 0.003494724, 0.0032911478, 0.0030875716, 0.0028161367, 0.002544702, 0.0024768433, 0.0024768433], [0.02617702, 0.012230635, 0.011915818, 0.008012089, 0.0077287536, 0.0065639312, 0.0065009682, 0.005021329, 0.004517622, 0.004391695], [0.01807387, 0.009126683, 0.0075802556, 0.005702451, 0.0056196065, 0.004984467, 0.004708319, 0.0043493267, 0.004321712, 0.0042940974], [0.054448433, 0.00708192, 0.0027998288, 0.0024704372, 0.0024045587, 0.0020751671, 0.0019434105, 0.0016798972, 0.0014163839, 0.0013505056], [0.006429663, 0.0046420437, 0.0041230572, 0.0037194015, 0.0036040712, 0.003546406, 0.0034310757, 0.0034310757, 0.0032580802, 0.002739094], [0.0037814993, 0.0030823986, 0.0023832978, 0.0022561885, 0.002192634, 0.0021290793, 0.0021290793, 0.0021290793, 0.0019384156, 0.0019384156], [0.044047277, 0.030215925, 0.027814884, 0.021085203, 0.019529598, 0.015403865, 0.014423158, 0.008031653, 0.0051909843, 0.0048866267], [0.0018972132, 0.0010540073, 0.00080104556, 0.00080104556, 0.00080104556, 0.00080104556, 0.00080104556, 0.000716725, 0.000716725, 0.000716725], [0.0016955168, 0.0016166555, 0.0012223492, 0.00082804303, 0.00082804303, 0.00082804303, 0.00074918184, 0.00074918184, 0.0006703206, 0.0006703206], [0.0017493706, 0.0015787004, 0.0015787004, 0.0008960191, 0.0008960191, 0.0008960191, 0.00081068394, 0.00072534883, 0.00072534883, 0.00072534883], [0.005926676, 0.005628853, 0.0047949487, 0.0046162554, 0.0034249634, 0.0033653989, 0.0031867053, 0.0028888823, 0.0028293177, 0.002769753], [0.00840952, 0.005441454, 0.0050017405, 0.0050017405, 0.0047085984, 0.0041955994, 0.0034627435, 0.0032795295, 0.0032428866, 0.00302303], [0.005186447, 0.0035964414, 0.0032178687, 0.0032178687, 0.002990725, 0.001779292, 0.0017035775, 0.0015521484, 0.0014007193, 0.0014007193]]"
